WILDERNESS NAME	AGENCY	STATE	UNIT ACREAGE (in acres)	TOTAL ACREAGE (in acres)	YEAR DESIGNATED	,,
Barbours Creek Wilderness	FS	VA	    5,382	    5,382	1988
Beartown Wilderness	FS	VA	    5,609	    5,609	1984
Brush Mountain East Wilderness	FS	VA	    3,743	    3,743	2009
Brush Mountain Wilderness	FS	VA	    4,794	    4,794	2009
Garden Mountain Wilderness	FS	VA	    3,291	    3,291	2009
Hunting Camp Creek Wilderness	FS	VA	    8,470	    8,470	2009
James River Face Wilderness	FS	VA	    8,886	    8,886	1975
Kimberling Creek Wilderness	FS	VA	    5,805	    5,805	1984
Lewis Fork Wilderness	FS	VA	    5,926	    5,926	1984
Little Dry Run Wilderness	FS	VA	    2,858	    2,858	1984
Little Wilson Creek Wilderness	FS	VA	    5,458	    5,458	1984
Mountain Lake Wilderness	FS	VA	   12,375	   15,096	1984
Peters Mountain Wilderness	FS	VA	    4,531	    4,531	1984
Priest Wilderness	FS	VA	    5,963	    5,963	2000
Raccoon Branch Wilderness	FS	VA	    4,223	    4,223	2009
Ramseys Draft Wilderness	FS	VA	    6,518	    6,518	1984
Rich Hole Wilderness	FS	VA	    6,450	    6,450	1988
Rough Mountain Wilderness	FS	VA	    9,300	    9,300	1988
Saint Mary's Wilderness	FS	VA	    9,835	    9,835	1984
Shawvers Run Wilderness	FS	VA	    5,686	    5,686	1988
Shenandoah Wilderness	NPS	VA	   79,579	   79,579	1976
Stone Mountain Wilderness	FS	VA	    3,270	    3,270	2009
Three Ridges Wilderness	FS	VA	    4,608	    4,608	2000
Thunder Ridge Wilderness	FS	VA	    2,344	    2,344	1984
,,
Search Summary,,
Wilderness Areas Found:	24,,
Unit Acreage Sum:	214,904 Acres,
Total Acreage Sum:	217,625 Acres,